source,id,url,filepath,file-id for wayback,Notes
wayback_2023,0,https://www.dreamhost.com/legal/acceptable-use-policy/,0-2023.txt,0,
crux,14,https://postmaster.t-online.de/aup.en.html,0014-current.txt,,
crux,40,https://trust.kahoot.com/acceptable-use-policy/,0040-current.txt,,
crux,43,https://aws.amazon.com/aup/,0043-current.txt,,
googlesearch,13,https://www.wilbursmithbooks.com/acceptable-use-policy,013-current.txt,,
crux,156,https://stackoverflow.com/legal/acceptable-use-policy,0156-current.txt,,
googlesearch,17,https://www.netlify.com/legal/acceptable-use-policy/,017-current.txt,,
googlesearch,22,https://www.lcn.com/info/aup,022-current.txt,,
googlesearch,26,https://posit.co/about/acceptable-use-policy/,026-current.txt,,
crux,301,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1137343/dwp-acceptable-use-policy-version-3.pdf,0301-current.txt,,
crux,354,https://explore.zoom.us/en/trust/zoom-phone-acceptable-use-policy/,0354-current.txt,,
googlesearch,45,https://www.name.com/policies/acceptable-use-policy,045-current.txt,,
googlesearch,50,https://working-technology.com/acceptable-use-policy/,050-current.txt,,
googlesearch,57,https://pagely.com/legal/acceptable-use-policy/,057-current.txt,,
crux,585,https://www.slideshare.net/gfair3/acceptable-use-policy-18802628,0585-current.txt,,
crux,586,https://help.nexusmods.com/article/114-api-acceptable-use-policy,0586-current.txt,,
googlesearch,60,https://trustarc.com/acceptable-use-policy/,060-current.txt,,
googlesearch,64,https://www.socketlabs.com/legal/aup/,064-current.txt,,
googlesearch,77,https://www.fenixmonitoring.com/website-acceptable-use-policy/,077-current.txt,,
googlesearch,82,https://www.publitas.com/legal/acceptable-use-policy/,082-current.txt,,
crux,838,https://learn.microsoft.com/en-us/legal/intune/acceptable-use-policy-for-microsoft-intune,0838-current.txt,,
googlesearch,97,https://www.cpg-logistics.com/acceptable-use-policy/,097-current.txt,,
googlesearch,98,https://www.richardstace.com/website-acceptable-use-policy/,098-current.txt,,
wayback_2023,1,https://legal.here.com/en-gb/terms/acceptable-use-policy,1-2023.txt,1,
wayback_2023,10,https://www.nasstar.com/acceptable-use-policy,10-2023.txt,10,
wayback_2023,101,https://www.europeanaviationnetwork.com/en/site-services/acceptable-use-policy.html,101-2023.txt,101,
wayback_2023,102,https://schneiderfs.com/acceptable-use-policy/,102-2023.txt,102,
crux,1028,https://www.figma.com/aup/,1028-current.txt,,
wayback_2023,103,https://bonterms.com/forms/acceptable-use-policy-version-1-0/,103-2023.txt,103,
wayback_2023,106,https://www.commonstructuralrulessoftware.com/Topic/23-acceptable-use-policy.aspx,106-2023.txt,106,
wayback_2023,208,https://www.forbin.com/acceptable-use-policy,208-2023.txt,208,
googlesearch,107,https://mediacomcable.com/legal/acceptable-use-policy/,107-current.txt,104,
wayback_2023,108,https://www.sprint.com/en/legal/acceptable-use-policy.html,108-2023.txt,108,
wayback_2023,109,https://trove-research.com/acceptable-use-policy/,109-2023.txt,109,
crux,1091,https://www.xfinity.com/corporate/customers/policies/highspeedinternetaup,1091-current.txt,,
wayback_2023,11,https://www.puntersouthall.com/acceptable-use-policy,11-2023.txt,11,
